score_id,annot_score_id,perf_id
0,0,0
1,1,1
2,2,2
3,3,3
4,4,5
5,5,6
6,6,4
7,7,7
8,8,8
9,9,9
10,10,10
11,11,14
12,12,13
13,13,12
14,14,11
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,,
22,21,21
23,22,22
24,23,23
25,24,24
26,,
27,25,27
28,26,26
29,27,25
30,28,28
31,29,29
32,,
33,30,30
34,,
35,31,31
36,32,32
37,33,33
38,34,34
39,35,35
40,36,36
41,37,37
42,38,38
43,39,39
44,,
45,40,41
46,41,40
47,42,42
48,43,43
49,44,44
50,45,45
51,,
52,,
53,46,47
54,47,46
55,,
56,48,48
57,49,49
58,50,50
59,51,51
60,52,52
61,53,53
62,,
63,54,57
64,55,54
65,,
66,56,55
67,57,56
68,58,59
69,59,60
70,60,58
71,61,61
72,62,64
73,63,63
74,64,62
75,,
76,65,67
77,66,66
78,67,65
79,68,68
80,69,71
81,70,70
82,71,69
83,72,72
84,73,75
85,74,74
86,75,73
87,,
88,,
89,76,76
90,,
91,,
92,77,78
93,78,77
94,79,81
95,80,79
96,81,80
97,82,82
98,83,83
99,84,84
100,85,85
101,86,86
102,,
103,87,87
104,88,88
105,89,89
106,,
107,,
108,,
109,90,90
110,91,91
111,92,92
